Layer,	Cycles,	% Utilization,
Conv1,	1074224,	71.10603995114981,
Conv2,	4775043,	85.31440640538233,
Conv3,	4261255,	94.74543886841133,
Conv4,	526085,	85.27019778165102,
Conv5,	4261255,	94.74543886841133,
Conv6,	4188681,	94.65813383058031,
Conv7,	465417,	94.6562864889972,
Conv8,	4188681,	94.65813383058031,
Conv9,	3951368,	96.72748734676074,
Conv10,	451592,	94.0390322827274,
Conv11,	3951368,	96.72748734676074,
Conv12,	451592,	94.0390322827274,
Conv13,	3951368,	96.72748734676074,
Conv14,	3815427,	92.89096059486812,
Conv15,	430083,	91.56337110128086,
Conv16,	3815427,	92.89096059486812,
Conv17,	430083,	91.56337110128086,
Conv18,	3815427,	92.89096059486812,
Conv19,	7630851,	92.89099827886388,
Conv20,	7630851,	92.89099827886388,
Conv21,	22892547,	92.8910234018823,
Conv22,	356356,	91.72945656083287,
